Team,year,team_winning_pct
TOR,2015,0.5740740740740741
NYY,2015,0.5370370370370371
BAL,2015,0.5
TBR,2015,0.49382716049382713
BOS,2015,0.48148148148148145
KCR,2015,0.5864197530864198
MIN,2015,0.5123456790123457
CLE,2015,0.5031055900621118
CHW,2015,0.4691358024691358
DET,2015,0.45962732919254656
TEX,2015,0.5432098765432098
HOU,2015,0.5308641975308642
LAA,2015,0.5246913580246914
SEA,2015,0.4691358024691358
OAK,2015,0.41975308641975306
NYM,2015,0.5555555555555556
WSN,2015,0.5123456790123457
MIA,2015,0.4382716049382716
ATL,2015,0.41358024691358025
PHI,2015,0.3888888888888889
STL,2015,0.6172839506172839
PIT,2015,0.6049382716049383
CHC,2015,0.5987654320987654
MIL,2015,0.41975308641975306
CIN,2015,0.3950617283950617
LAD,2015,0.5679012345679012
SFG,2015,0.5185185185185185
ARI,2015,0.4876543209876543
SDP,2015,0.4567901234567901
COL,2015,0.41975308641975306
